pdf,dataset,categoria
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Planificación EVALUACIÓN DEL DESEMPEÑO SIR 2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Seguimiento EVALUACIÓN DEL DESEMPEÑO SIR 2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\Sofia Irola Rojas.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_ MNCR-DAF-AC-012-2025_transporte.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DAF-AC-001-2025 adelanto viaticos SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DAF-AC-002-2025 liquidacion viaticos SIR.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DAF-AC-003-2025 traslado CPU.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DAF-AC-004-2025 traslado equipos UI.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DAF-AC-005-2025 salida de activos.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DAF-AC-013-2025 grabadora UI.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-DG-UI-118-2025 ACTIVOS A ARCHIVO CENTRAL.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-UI-045-2025 Dell Optiplex 3060 Archivo.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\SOL_MNCR-UI-079-2025 WebCam Archivo Central.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\VACACIONES-Sofia Irola-01JUL2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\VACACIONES-Sofia Irola-21-22OCT2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Exp. trámites laborales\Sofia Irola Rojas\2025\VACACIONES-Sofia Irola-25-27AGO2025.pdf,museo,expedientes de trámites laborales
C:\\Users\\PC\\Downloads\\A\Museo\Expediente sobre voluntariado\2024\GIRHA-2024-O-672-2024. Srita. Lisseth Rojas Villarreal.pdf,museo,expedientes sobre voluntariado
C:\\Users\\PC\\Downloads\\A\Museo\Expediente sobre voluntariado\2024\OFI MNCR-DAF-GIRHA-758-2024. Alexia  Fiorella Rojas Calderón.pdf,museo,expedientes sobre voluntariado
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2024\INF MNCR-DAF-AC-007-2024 participación comisiones.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2024\Recibidos\INF MNCR-DAH-101-2024 Reporte de incidente Mapoteca DAH VF 1.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2024\Recibidos\OFI MNCR-DAH-249-2024 Entrega IF Reporte de Incidente Mapoteca DAH.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\Informe Anual de Desarrollo Archivístico 2024-2025.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\INF_MNCR-DAF-AC-005-2025 Asesoria DAH.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\INF_MNCR-DAF-AC-008-2025 reacomodo.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\INF_MNCR-DAF-AC-011-2025 DAH conservacion.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\INF_MNCR-DAF-AC-014-2025 Asesoria DPPC.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\INF_MNCR-DAF-AC-019-2025 participacion en comisiones.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes\2025\OFI_MNCR-DAF-AC-007-2025 DG IADA.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2024\AC-2024-I-001 informe agosto.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2024\INF MNCR-DAF-AC-002-2024 setiembre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2024\INF MNCR-DAF-AC-003-2024 octubre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2024\INF MNCR-DAF-AC-004-2024 teletrabajo octubre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2024\INF MNCR-DAF-AC-005-2024 noviembre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2024\INF MNCR-DAF-AC-006-2024 teletrabajo noviembre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-001-2025 teletrabajo enero.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-002-2025 labores enero.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-003-2025 teletrabajo febrero.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-004-2025 labores febrero.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-006-2025 labores marzo.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-007-2025 teletrabajo marzo.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-009-2025 labores abril.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-010-2025 teletrabajo abril.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-012-2025 labores mayo.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-013-2025 teletrabajo mayo.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-015-2025 labores junio.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-016-2025 teletrabajo junio.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-017-2025 labores julio.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-018-2025 teletrabajo julio.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-020-2025 labores agosto.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-021-2025 teletrabajo agosto.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-022-2025 labores setiembre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-023-2025 teletrabajo setiembre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-024-2025 labores octubre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Informes de labores\2025\INF_MNCR-DAF-AC-025-2025 teletrabajo octubre.pdf,museo,informes técnicos producidos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Actas de eliminación\ACT MNCR-DAF-AC-001-2024 Servicios Generales.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Actas de eliminación\ACT MNCR-DAF-AC-002-2024 Financiero Contable.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-024-2025 Cuadro JA.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-025-2025 CuadroDG.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-026-2025 CuadroAJ.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-027-2025 CuadroDAF.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-028-2025 CuadroRH.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-029-2025 CuadroSG.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-030-2025 CuadroDPPC.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-031-2025 CuadroDAH.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-032-2025 CuadroDHN.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Cuadros de clasificación\OFI_MNCR-DAF-AC-033-2025 CuadroDPM.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Diagnósticos\AC-2024-O-002 Remision de diagnostico.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Lineamientos\001_Lineamientos para la eliminación de documentos MNCR.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Lineamientos\002_Lineamientos para la transferencia de documentos al AC.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Lineamientos\003_Lineamientos gestión de documentos MNCR.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Instrumentos técnicos archivísticos\Lineamientos\004_Instructivo Cuadro de clasificación MNCR.pdf,museo,instrumentos técnicos archivísticos
C:\\Users\\PC\\Downloads\\A\Museo\Memorandos\2025\MEM_MNCR-DAF-AC-001-2015.pdf,museo,memorandos
C:\\Users\\PC\\Downloads\\A\Museo\Memorandos\2025\MEM_MNCR-DAF-AC-002-2015.pdf,museo,memorandos
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\CONTR_ MNCR-DAF-AC-001-2025_Biblio.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\CONTR_ MNCR-DPM-016-2025 Traslado de documentos.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\CONTR_MNCR-DPM-02-2025.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-003-2025_Traslado CPU.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-006-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-007-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-008-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-009-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-010-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-011-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-012-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-014-2025_transporte DAF-AC.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-015-2025_transporte teatro.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-016-2025_requisicion.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-AC-017-2025_transporte.pdf,museo,solicitudes administrativas
C:\\Users\\PC\\Downloads\\A\Museo\Solicitudes administrativas\SOL_ MNCR-DAF-PI-007-2025_ENTREGA DESHUMIFICADORES.pdf,museo,solicitudes administrativas
